250,1,1,-1,5
251,11,5,13,5
252,6,5,13,5
253,11,5,-1,5
254,17,5,13,5
255,13,5,16,5
256,16,5,12,5
257,19,5,8,5
258,19,5,13,5
259,3,1,11,5
260,3,1,16,5
261,2,1,11,5
262,2,1,16,5
263,13,5,3,1
264,21,5,2,1
265,21,5,3,1
266,21,5,1,1
267,17,5,2,5
268,12,5,2,5
269,16,5,-1,5
270,17,5,19,5
271,4,1,3,1
272,7,5,2,5
273,2,1,6,5
274,6,5,9,5
275,3,5,1,1
276,3,5,2,1
277,6,5,14,5
278,2,1,17,5
279,14,5,14,5
280,6,5,4,1
281,11,5,18,5
282,17,5,18,5
283,18,5,17,5
284,14,5,4,1
285,2,1,23,5
286,3,1,23,5
287,19,5,4,1
288,18,5,16,5
289,22,5,19,5
290,9,5,17,5
291,14,5,17,5
292,13,5,4,1
293,2,1,14,5
294,1,1,14,5
295,9,5,18,5
296,14,5,18,5
297,19,5,18,5
298,3,1,21,5
299,1,1,3,1
300,2,5,11,5
301,-1,5,7,5
302,9,5,14,5
303,13,5,17,5
304,16,5,13,5
305,12,5,16,5
306,6,5,18,5
307,2,1,21,5
308,8,5,17,5
309,8,5,13,5
310,12,5,2,1
311,8,5,7,5
312,8,5,19,5
313,17,5,2,1
314,21,5,7,5
315,21,5,13,5
316,21,5,12,5
317,21,5,8,5
318,17,5,1,1
319,13,5,2,5
320,8,5,2,5
321,21,5,2,5
322,17,5,-1,5
323,7,5,2,1
324,4,5,6,5
325,4,5,11,5
326,1,5,7,5
327,1,5,12,5
328,4,5,16,5
329,1,5,2,5
330,7,5,3,1
331,12,5,3,1
332,16,5,18,5
333,19,5,14,5
334,23,5,11,5
335,19,5,9,5
336,3,1,6,5
337,11,5,3,5
338,16,5,3,5
339,13,5,-1,5
340,23,5,6,5
341,19,5,3,5
342,3,1,0,1
343,6,5,3,5
344,3,5,7,5
345,3,5,12,5
346,2,5,6,5
347,6,5,16,5
348,2,5,13,5
349,8,5,-1,5
350,19,5,-3,5
351,17,5,3,1
352,13,5,18,5
353,14,5,19,5
354,9,5,19,5
355,13,5,22,5
356,18,5,22,5
357,8,5,18,5
358,12,5,21,5
359,8,5,22,5
360,21,5,18,5
361,17,5,21,5
362,7,5,1,1
363,3,5,2,5
364,4,5,9,5
365,4,5,14,5
366,4,5,4,5
367,4,5,19,5
368,22,5,2,1
369,3,1,14,5
370,11,5,17,5
371,16,5,17,5
