nodes, edges, density
421000, 3701775, 1.167866388306942
422000, 3714854, 1.167924769904372
423000, 3728290, 1.167990071150139
424000, 3741069, 1.168041297806646
425000, 3753454, 1.168084007608360
426000, 3767696, 1.168164394208385
427000, 3781564, 1.168236517878853
428000, 3794842, 1.168296083281217
429000, 3808385, 1.168360540447145
430000, 3821492, 1.168415693930180
431000, 3834579, 1.168470005975428
432000, 3847603, 1.168522623884197
433000, 3861962, 1.168601461995513
434000, 3876160, 1.168676487524391
435000, 3890543, 1.168754593540117
436000, 3904381, 1.168821346274943
437000, 3918864, 1.168900255357208
438000, 3933149, 1.168974681081536
439000, 3946072, 1.169021972838080
440000, 3960167, 1.169091667583782
441000, 3973586, 1.169147739363944
442000, 3988236, 1.169227124991683
443000, 4002569, 1.169299814103741
444000, 4017409, 1.169381655734967
445000, 4032565, 1.169468901339459
446000, 4046265, 1.169527827193207
447000, 4060158, 1.169589957238392
448000, 4075487, 1.169678698480004
449000, 4090310, 1.169757265528515
450000, 4106030, 1.169852026972058
451000, 4120753, 1.169927492444154
452000, 4135382, 1.170000647967183
453000, 4150295, 1.170078511860914
454000, 4165361, 1.170158615828260
455000, 4180080, 1.170231752707950
456000, 4196373, 1.170333138337965
457000, 4211415, 1.170410975265759
458000, 4227582, 1.170508655586469
459000, 4243238, 1.170596372541218
460000, 4258905, 1.170683640333649
461000, 4275092, 1.170779593155841
462000, 4289765, 1.170847783519082
463000, 4305327, 1.170931304887566
464000, 4321748, 1.171029450971162
465000, 4337083, 1.171107689577163
466000, 4352218, 1.171181838773383
467000, 4369293, 1.171289470828627
468000, 4385827, 1.171386862040235
469000, 4399678, 1.171436857438967
470000, 4413592, 1.171487578349726
471000, 4427946, 1.171545535386340
472000, 4441780, 1.171594113206137
473000, 4455719, 1.171644138833571
474000, 4469893, 1.171697823065894
475000, 4483219, 1.171736650166076
476000, 4493540, 1.171724049830778
477000, 4503895, 1.171712022936459
478000, 4514339, 1.171701497058812
479000, 4524844, 1.171691988123438
480000, 4535524, 1.171685410150993
481000, 4546185, 1.171678479730514
482000, 4556980, 1.171673765450201
483000, 4567593, 1.171665964780298
484000, 4578520, 1.171663377259524
485000, 4589328, 1.171658756969335
486000, 4600456, 1.171659407400959
487000, 4611447, 1.171657721136707
488000, 4622552, 1.171657861739284
489000, 4635169, 1.171682842041328
490000, 4649447, 1.171734894139299
491000, 4662700, 1.171769809112940
492000, 4676169, 1.171807992152878
493000, 4689634, 1.171845834667544
494000, 4702878, 1.171879820102095
495000, 4716265, 1.171915868852010
496000, 4729906, 1.171955751768120
497000, 4743403, 1.171993037009950
498000, 4757171, 1.172034397951692
499000, 4771120, 1.172078359499749
500000, 4784828, 1.172118176748892
501000, 4798836, 1.172162477165171
502000, 4812898, 1.172207325501168
503000, 4827035, 1.172253047818229
504000, 4841253, 1.172299730157214
505000, 4855440, 1.172345606862770
506000, 4869920, 1.172395750640204
507000, 4884328, 1.172444432742407
508000, 4898837, 1.172494354347312
509000, 4913145, 1.172540825870550
509445, 4919524, 1.172561589012449
